MQ_KURZNAME;DET_NAME_ALT;DET_NAME_NEU;DET_ID15;MQ_ID15;STRASSE;POSITION;POS_DETAIL;RICHTUNG;SPUR;annotation;LÄNGE (WGS84);BREITE (WGS84);INBETRIEBNAHME;ABBAUDATUM;DEINSTALLIERT;KOMMENTAR
TE392;TEU00392_Det1;TE392_Det_HF2;1.00101E+14;1.00201E+14;Stralauer Allee;zwischen Rochowstraße und Bossestraße in Höhe Haus Nr. 21a, 4. LM nach Rochowstraße;Markgrafendamm;Ost;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.46090916;52.4985548;23.12.06;;;
TE393;TEU00393_Det0;TE393_Det_HF1;1.00101E+14;1.00201E+14;Frankfurter Allee;zwischen Jungstraße und Finowstraße;Waldayerstraße;Ost;HF_R;Hauptfahrbahn rechte Spur;13.46881619;52.51423249;22.12.06;;X;Radspur
TE393;TEU00393_Det1;TE393_Det_HF2;1.00101E+14;1.00201E+14;Frankfurter Allee;zwischen Jungstraße und Finowstraße;Waldayerstraße;Ost;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.46881619;52.51423249;22.12.06;;;
TE393;TEU00393_Det2;TE393_Det_HF3;1.00101E+14;1.00201E+14;Frankfurter Allee;zwischen Jungstraße und Finowstraße;Waldayerstraße;Ost;HF_3vR;Hauptfahrbahn, 3. Spur von rechts;13.46881619;52.51423249;22.12.06;;;
TE394;TEU00394_Det0;TE394_Det_HF1;1.00101E+14;1.00201E+14;Frankfurter Allee;zwischen Waldeyerstraße und Voigtstraße;Voigtstraße;West;HF_R;Hauptfahrbahn rechte Spur;13.46984019;52.51427863;23.12.06;;;
TE394;TEU00394_Det1;TE394_Det_HF2;1.00101E+14;1.00201E+14;Frankfurter Allee;zwischen Waldeyerstraße und Voigtstraße;Voigtstraße;West;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.46984019;52.51427863;23.12.06;;;
TE394;TEU00394_Det2;TE394_Det_HF3;1.00101E+14;1.00201E+14;Frankfurter Allee;zwischen Waldeyerstraße und Voigtstraße;Voigtstraße;West;HF_3vR;Hauptfahrbahn, 3. Spur von rechts;13.46984019;52.51427863;23.12.06;;;
TE395;TEU00395_Det0;TE395_Det_HF1;1.00101E+14;1.00201E+14;Schildhornstraße;zwischen Lepsiusstraße und Gritznerstraße;Gritznerstraße;West;HF_R;Hauptfahrbahn rechte Spur;13.31804085;52.46383059;01.01.07;;;
TE395;TEU00395_Det1;TE395_Det_HF2;1.00101E+14;1.00201E+14;Schildhornstraße;zwischen Lepsiusstraße und Gritznerstraße;Gritznerstraße;West;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.31804085;52.46383059;01.01.07;;;
TE397;TEU00397_Det0;TE397_Det_HF1;1.00101E+14;1.00201E+14;Königin-Elisabeth-Straße;zwischen Knobelsdorffstraße und Fredericiastraße;;Süd;HF_R;Hauptfahrbahn rechte Spur;13.28147568;52.51174135;17.04.07;;;
