mq_name;tag;stunde;qualitaet;q_kfz_mq_hr;v_kfz_mq_hr;q_pkw_mq_hr;v_pkw_mq_hr;q_lkw_mq_hr;v_lkw_mq_hr
TE001;01.05.2023;0;1.0;214;58;211;58;3;70
TE001;01.05.2023;1;1.0;128;57;120;57;8;70
TE001;01.05.2023;2;1.0;84;61;79;61;5;71
TE001;01.05.2023;3;1.0;98;59;94;59;4;72
TE001;01.05.2023;4;1.0;160;62;157;62;3;70
TE001;01.05.2023;5;1.0;246;63;237;63;9;72
TE001;01.05.2023;6;1.0;380;63;369;63;11;76
TE001;01.05.2023;7;1.0;683;59;666;59;17;74
TE001;01.05.2023;8;1.0;1277;51;1259;51;18;70
TE001;01.05.2023;9;1.0;2388;38;2372;38;16;65
TE001;01.05.2023;10;1.0;2667;31;2652;31;15;63
TE001;01.05.2023;11;1.0;2524;32;2510;32;14;63
TE001;01.05.2023;12;1.0;2420;34;2410;34;10;62
TE001;01.05.2023;13;1.0;2194;37;2180;37;14;64
TE001;01.05.2023;14;1.0;1877;41;1859;40;18;66
TE001;01.05.2023;15;1.0;1464;44;1453;44;11;67
TE001;01.05.2023;16;1.0;1413;46;1390;46;23;71
TE001;01.05.2023;17;1.0;1292;60;1271;59;21;83
TE001;01.05.2023;18;1.0;1017;55;996;54;21;73
TE001;01.05.2023;19;1.0;886;54;871;54;15;74
TE001;01.05.2023;20;1.0;667;54;640;53;27;74
TE001;01.05.2023;21;1.0;439;62;416;62;23;75
TE001;01.05.2023;22;1.0;582;58;560;57;22;75
TE001;01.05.2023;23;1.0;243;64;217;63;26;76
TE001;02.05.2023;0;1.0;120;61;95;58;25;72
TE001;02.05.2023;1;1.0;134;65;97;61;37;76
TE001;02.05.2023;2;1.0;163;63;117;58;46;72
TE001;02.05.2023;3;1.0;309;60;230;56;79;73
TE001;02.05.2023;4;1.0;788;53;689;50;99;73
TE001;02.05.2023;5;1.0;1550;49;1428;47;122;70
TE001;02.05.2023;6;1.0;1939;41;1811;40;128;67
TE001;02.05.2023;7;1.0;1501;42;1427;41;74;63
TE001;02.05.2023;8;1.0;1135;53;1045;53;90;64
TE001;02.05.2023;9;1.0;1199;55;1074;54;125;67
TE001;02.05.2023;10;1.0;1430;47;1283;45;147;64
TE001;02.05.2023;11;1.0;1800;43;1611;40;189;69
TE001;02.05.2023;12;1.0;1794;44;1601;41;193;70
TE001;02.05.2023;13;1.0;2037;37;1896;35;141;65
TE001;02.05.2023;14;1.0;2295;22;2159;21;136;43
TE001;02.05.2023;15;1.0;2379;38;2292;37;87;69
TE001;02.05.2023;16;1.0;2283;38;2200;37;83;69
TE001;02.05.2023;17;1.0;1981;41;1901;40;80;69
TE001;02.05.2023;18;1.0;1387;48;1316;46;71;70
TE001;02.05.2023;19;1.0;900;53;857;52;43;69
TE001;02.05.2023;20;1.0;691;52;535;61;156;22
TE001;02.05.2023;21;1.0;586;57;555;56;31;70
TE001;02.05.2023;22;1.0;406;58;365;56;41;73
TE001;02.05.2023;23;1.0;235;59;210;58;25;72
TE001;03.05.2023;0;1.0;132;61;98;58;34;70
TE001;03.05.2023;1;1.0;121;64;85;61;36;70
TE001;03.05.2023;2;1.0;134;64;89;60;45;72
TE001;03.05.2023;3;1.0;255;62;192;59;63;70
TE001;03.05.2023;4;1.0;688;54;614;52;74;69
TE001;03.05.2023;5;1.0;1502;45;1376;43;126;69
TE001;03.05.2023;6;1.0;1944;43;1830;41;114;68
TE001;03.05.2023;7;1.0;1857;46;1664;45;193;52
TE001;03.05.2023;8;1.0;1621;41;1512;39;109;65
TE001;03.05.2023;9;1.0;1819;38;1658;36;161;62
